Date,Open,High,Low,Close,Adj Close,Volume
2019-12-30,393.649994,417.170013,387.070007,413.739990,403.380829,5800800
2020-01-06,417.989990,418.179993,407.690002,413.829987,403.468567,7297900
2020-01-13,414.940002,427.540009,414.660004,425.660004,415.002411,5067800
2020-01-20,424.420013,433.519989,423.010010,432.500000,421.671112,4055200
2020-01-27,425.859985,438.989990,425.859985,428.119995,417.400787,7929900
2020-02-03,429.519989,441.209991,422.040009,439.170013,428.174164,5981200
2020-02-10,439.000000,442.529999,434.299988,437.850006,426.887177,4783000
2020-02-17,437.000000,438.950012,422.660004,427.799988,417.088806,3809400
2020-02-24,419.649994,424.200012,360.339996,369.869995,360.609253,9654300
2020-03-02,371.350006,402.959991,360.570007,382.470001,375.235321,11545300
2020-03-09,359.980011,369.470001,303.100006,328.589996,322.374512,15313500
2020-03-16,295.010010,339.230011,285.000000,291.220001,285.711395,14443900
2020-03-23,285.000000,365.089996,266.109985,348.380005,341.790192,15454300
2020-03-30,351.489990,356.480011,322.010010,350.500000,343.870087,10017300
2020-04-06,361.910004,381.899994,354.049988,371.000000,363.982300,7704000
2020-04-13,370.950012,402.450012,365.709991,401.510010,393.915192,7478900
2020-04-20,394.079987,399.970001,371.010010,381.769989,374.548584,6911200
2020-04-27,383.910004,393.510010,378.000000,383.470001,376.216431,6526600
2020-05-04,382.019989,392.779999,374.130005,378.399994,371.242340,6031000
2020-05-11,375.000000,382.440002,352.260010,360.399994,353.582794,7653800
2020-05-18,371.209991,382.459991,362.109985,369.000000,362.020142,6779000
2020-05-25,376.950012,404.260010,370.570007,388.440002,381.092438,6804700
2020-06-01,388.940002,416.000000,386.989990,410.750000,405.422485,6841400
2020-06-08,415.000000,417.619995,376.470001,381.869995,376.917053,7158100
2020-06-15,373.279999,391.790009,367.549988,372.200012,367.372467,11713100
2020-06-22,372.260010,378.779999,353.329987,356.760010,352.132721,8542900
2020-06-29,360.390015,368.290009,359.489990,362.000000,357.304779,5381200
2020-07-06,366.480011,367.119995,339.179993,349.250000,344.720154,7901300
2020-07-13,353.600006,369.000000,348.600006,368.500000,363.720428,7391400
2020-07-20,369.000000,394.670013,362.429993,386.209991,381.200745,8471800
2020-07-27,384.730011,390.470001,373.679993,378.970001,374.054657,5473800
2020-08-03,376.839996,386.660004,371.440002,385.619995,380.618408,4465600
2020-08-10,386.019989,399.489990,385.959991,391.420013,386.343201,4749500
2020-08-17,393.980011,395.190002,383.579987,389.570007,384.517181,4587300
2020-08-24,390.829987,402.380005,389.899994,395.589996,390.459076,4331000
2020-08-31,392.170013,401.880005,379.579987,385.019989,380.026184,5588200
2020-09-07,383.989990,390.500000,378.329987,389.450012,386.745056,3939700
2020-09-14,393.369995,399.600006,386.890015,395.140015,392.395538,6594800
2020-09-21,388.500000,394.429993,375.100006,386.700012,384.014160,6627500
2020-09-28,390.000000,396.609985,374.279999,380.579987,377.936646,5824500
2020-10-05,383.239990,390.100006,376.019989,385.929993,383.249481,3976300
2020-10-12,386.000000,395.459991,383.220001,386.500000,383.815552,4615100
2020-10-19,387.239990,389.600006,365.000000,374.329987,371.730072,7325300
2020-10-26,369.429993,369.869995,345.649994,350.130005,347.698151,6902300
2020-11-02,356.119995,381.459991,350.720001,361.269989,358.760773,8449600
2020-11-09,379.600006,381.519989,363.730011,375.140015,372.534454,6557200
2020-11-16,378.049988,383.470001,367.619995,368.019989,365.463898,5887500
2020-11-23,371.540009,381.950012,369.859985,374.339996,371.739990,3355300
2020-11-30,370.790009,373.290009,360.010010,366.609985,364.063690,8410200
2020-12-07,366.899994,366.899994,354.190002,361.709991,361.709991,7484800
2020-12-14,363.500000,365.619995,350.010010,356.029999,356.029999,10877800
2020-12-21,353.160004,355.000000,346.600006,351.970001,351.970001,5765800
2020-12-28,353.109985,357.820007,351.709991,354.980011,354.980011,4238600
2021-01-04,354.980011,354.980011,335.010010,336.100006,336.100006,10538000
2021-01-11,335.000000,354.790009,333.320007,347.269989,347.269989,11670100
2021-01-18,350.739990,350.970001,337.209991,339.880005,339.880005,7016400
2021-01-25,339.359985,346.890015,321.720001,321.820007,321.820007,12121800
2021-01-29,327.100006,328.980011,321.720001,321.820007,321.820007,2080436
